AccX,AccY,AccZ,Acc_Mag,Altitude,Delta_Pitch,Delta_Roll,GyroX,GyroY,GyroZ,Gyro_Mag,Jerk,Pitch,Roll,Speed,Yaw,Delta_Altitude,Label
0.170586869,0.764947414,9.546878815,9.578994703,855.5999756,0,0,0.012916322,-0.020772642,0.246608526,0.247818681,0.257272564,5.755131804,0.325581335,0.116819926,84.2447759,0,Normal Driving
-0.107140526,0.990002394,9.48941803,9.541521806,855.5999756,0.200441335,0.321290699,0.012916322,-0.020772642,0.246608526,0.247818681,0.037472897,5.955573139,0.646872034,0.116819926,84.04405001,0,Normal Driving
-0.10235212,1.061828494,9.700108528,9.758589097,855.5999756,0.29112752,0.042329635,0.012916322,-0.020772642,0.246608526,0.247818681,0.217067291,6.246700659,0.604542398,0.116819926,83.75295435,0,Normal Driving
0.070030399,0.468066424,10.04487324,10.05601655,855.5999756,1.166559424,1.576394935,0.012916322,-0.020772642,0.246608526,0.247818681,0.29742745,5.080141235,2.180937334,0.116819926,84.9161955,0,Normal Driving
0.098760821,0.678756177,9.398438454,9.423434035,855.5999756,0.966641965,1.534699622,0.041811597,-0.052064762,0.464854419,0.469626,0.173228725,5.63321687,-1.09286628,0.116819926,84.36576482,0,Normal Driving
0.180163682,0.956483603,9.671378136,9.720230186,855.5999756,0.01390265,0.025652837,0.041811597,-0.052064762,0.464854419,0.469626,0.296796151,5.64711952,-1.067213443,0.116819926,84.35190706,0,Normal Driving
-0.035314474,0.937329948,9.431957245,9.478483635,855.5999756,0.135721699,3.075704054,0.041811597,-0.052064762,0.464854419,0.469626,0.241746552,5.511397821,2.008490611,0.116819926,84.48523502,0,Normal Driving
-0.269946247,0.736217022,9.84376049,9.874943396,855.5999756,0.91131162,1.621771824,0.041811597,-0.052064762,0.464854419,0.469626,0.396459761,6.422709441,0.386718787,0.116819926,83.57714548,0,Normal Driving
0.381276608,1.100135684,9.800664902,9.869584738,855.5999756,2.147109937,1.184114361,0.041811597,-0.052064762,0.464854419,0.469626,0.005358658,4.275599505,1.570833148,0.116819926,85.72279908,0,Normal Driving
0.304662168,0.970848799,9.594763756,9.648567663,855.5999756,1.499333647,3.389532781,0.041811597,-0.052064762,0.464854419,0.469626,0.221017074,5.774933152,-1.818699633,0.116819926,84.22217598,0,Normal Driving
0.448314279,0.726640224,8.838195801,8.879341007,855.5999756,2.433956498,4.511687192,0.069907926,-0.06644582,0.607732892,0.61533847,0.19864137,2.901017002,-4.581649442,0.116819926,87.08969908,0,Normal Driving
